#DMCNumber , Description , Red , Green , Blue , Hex
3851 , Bright Green - LT , 90 , 165 , 140 , 0x5AA58C
3850 , Bright Green - DK , 50 , 125 , 100 , 0x327D64
3849 , Teal Green - LT , 90 , 165 , 140 , 0x5AA58C
3848 , Teal Green - MED , 65 , 105 , 97 , 0x416961
3847 , Teal Green - DK , 48 , 77 , 68 , 0x304D44
3846 , Bright Turquoise - LT , 82 , 173 , 234 , 0x52ADEA
3845 , Bright Turquoise - MED , 63 , 145 , 213 , 0x3F91D5
3844 , Bright Turquoise - DK , 43 , 91 , 155 , 0x2B5B9B
3843 , Electric Blue , 12 , 170 , 224 , 0x0CAAE0
3842 , Wedgwood - DK , 12 , 65 , 88 , 0x0C4158
3841 , Baby Blue - PALE , 199 , 221 , 235 , 0xC7DDEB
3840 , Lavender Blue - LT , 162 , 186 , 238 , 0xA2BAEE
3839 , Lavender Blue - MED , 107 , 123 , 189 , 0x6B7BBD
3838 , Lavender Blue - DK , 80 , 90 , 162 , 0x505AA2
3837 , Lavender - ULT DK , 109 , 69 , 137 , 0x6D4589
3836 , Grape - LT , 175 , 130 , 158 , 0xAF829E
3835 , Grape - MED , 113 , 80 , 105 , 0x715069
3834 , Grape - DK , 76 , 50 , 69 , 0x4C3245
3833 , Raspberry - LT , 224 , 124 , 134 , 0xE07C86
3832 , Raspberry - MED , 215 , 95 , 104 , 0xD75F68
3831 , Raspberry - DK , 170 , 68 , 77 , 0xAA444D
3830 , Terracotta , 199 , 79 , 71 , 0xC74F47
3829 , Old Gold - VY DK , 203 , 111 , 0 , 0xCB6F00
3828 , Hazelnut Brown , 187 , 135 , 63 , 0xBB873F
3827 , Golden Brown - PALE , 247 , 187 , 119 , 0xF7BB77
3826 , Golden Brown , 227 , 155 , 79 , 0xE39B4F
